"lambdaMainC[1]" "lambdaMainC[2]" "lambdaMainC[3]" "lambdaMainC[4]" "lambdaMainC[5]" "lambdaMainC[6]" "lambdaCrossC[1]" "lambdaCrossC[2]" "lambdaCrossC[3]" "lambdaCrossC[4]" "lambdaCrossC[5]" "lambdaCrossC[6]" "PsiC[1,2]" "theta[1]" "theta[2]" "theta[3]" "theta[4]" "theta[5]" "theta[6]" "parameter" "maxTree" "sumDiv" "warmupT1" "warmupT2" "sampleT1" "sampleT2" "prior" "scaleGlobal" "scaleLocal" "dfGlobal" "dfLocal" "nu" "scaleSlab" "N" "cross" "iteration" "pos"
135.973087890992 197.002283518906 97.0229614457398 96.9501891940531 88.8224264856723 85.725807234492 80.4894454673388 200 111.880094985396 141.467534310635 131.621371209213 119.21204611885 92.5773118788529 92.8493517772326 137.227822042371 102.773741163196 128.235738209028 166.674769844593 47.473193859867 "n_eff" 7 0 1.08 1.069 0.919 1.002 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 2 2
1.00028805651869 0.989182162528115 0.995710670968783 1.01094628138156 0.996458572301527 1.02294720294089 1.02917104350844 0.981455891651658 0.991693711328528 1.00419866631423 0.982440219484661 1.00710761980464 0.990965464506702 0.989417761185529 0.996584043511722 0.98738249577283 0.981416285570508 0.995510939831643 1.02125366673509 "Rhat" 7 0 1.08 1.069 0.919 1.002 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 2 2
110.928953356465 160.661049509759 96.5790246602641 163.513326984458 114.638829283983 75.078052213108 47.0227974748048 91.3139640923411 86.2954747797883 113.069454823433 114.899549728825 132.990184770772 135.644694760382 63.5949850385836 116.645234792577 160.381117739231 92.2217516486391 97.2427100876214 118.446792612011 "n_eff" 8 0 1.41 1.389 1.138 1.303 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 1 1
1.01347092361072 0.984235809268207 0.99580242590856 0.980817719415201 1.00671996176902 1.01936239964606 0.997062148308613 1.03731488536782 1.04500770530688 0.988442069333154 1.00372301913735 0.981397046257611 0.983953741823055 0.993049816737662 0.994421851650529 0.982743250415976 0.984182582095145 1.00764559239117 0.991801969876879 "Rhat" 8 0 1.41 1.389 1.138 1.303 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.2 1 1
105.596509779514 53.2755987896545 84.2078921609221 52.5124284668454 65.0128794263991 61.395204530129 79.4332380443319 125.46843221223 93.4079823481752 68.2356452130923 44.4025222974565 71.7404639219722 44.4039831772723 132.638404175688 134.266673704321 107.659603331926 115.58307270251 86.6619600469653 80.6361310298546 "n_eff" 7 0 1.104 1.014 0.863 1.136 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.5 1 5
1.00646911135879 1.00858904243729 1.01377780868981 0.999953642877267 1.02717265795562 1.04027482527601 1.062927071606 1.00186035448714 0.98588355651504 1.00975432131011 1.05616774091721 1.0386364267133 1.05239071196928 0.990657733174944 1.01194479892727 1.00436820635611 0.987819084394479 1.00298825372759 1.01392887983428 "Rhat" 7 0 1.104 1.014 0.863 1.136 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.5 1 5
86.1368970611299 146.270847789796 82.2176227173428 106.115505646647 80.5414466135972 94.3382136124153 87.7053574418275 65.7252540394981 111.146230329007 188.57620765335 128.898430300201 114.213613042402 154.744637462322 51.8878537292413 95.668671233643 98.2867122828342 117.074546232551 91.7738898658281 75.0370197574865 "n_eff" 7 0 1.308 1.17 1.07 1.099 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.5 2 6
0.980739911423196 0.988848526639978 0.98468438528632 0.996307365559804 1.00408889724722 0.98111176977507 1.00720960086596 0.999559699176224 0.991899269443144 0.988571635869367 0.981459548432021 0.993899604216712 0.985301273528579 1.03928958653164 0.990991442184185 0.990631220991401 0.98123421776936 0.983027468461162 0.983382080989403 "Rhat" 7 0 1.308 1.17 1.07 1.099 "RHSP" 0.1 0.1 1 1 1 0.1 100 0.5 2 6
77.6365462828573 89.8847694747979 112.985693185457 91.797836251447 83.8037748405009 115.940528814228 89.252432713569 57.0002585024937 56.2044955893393 108.090158507558 91.0237586409155 124.334211498545 117.042485562662 103.129377637212 65.4686859682396 94.560524807718 128.723334673983 200 59.2086737421462 "n_eff" 7 0 2.875 2.458 3.19 2.566 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.2 1 3
1.01284878413807 0.994551407201762 1.01422328215846 1.00618207596286 0.996507316558845 0.980945606965852 0.994810698790067 1.01006503546252 1.00387340487749 0.984789381449358 1.01273583805965 0.996202468115445 0.990803973665948 0.991544248767613 1.00051467542419 0.991725565774181 1.00230704505615 0.983944374622213 1.01061706609717 "Rhat" 7 0 2.875 2.458 3.19 2.566 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.2 1 3
