"lambdaMainC[1]" "lambdaMainC[2]" "lambdaMainC[3]" "lambdaMainC[4]" "lambdaMainC[5]" "lambdaMainC[6]" "lambdaCrossC[1]" "lambdaCrossC[2]" "lambdaCrossC[3]" "lambdaCrossC[4]" "lambdaCrossC[5]" "lambdaCrossC[6]" "PsiC[1,2]" "theta[1]" "theta[2]" "theta[3]" "theta[4]" "theta[5]" "theta[6]" "parameter" "maxTree" "sumDiv" "warmupT1" "warmupT2" "sampleT1" "sampleT2" "prior" "scaleGlobal" "scaleLocal" "dfGlobal" "dfLocal" "nu" "scaleSlab" "N" "cross" "iteration"
16.6966271695197 10.7229007773002 58.7352382717244 16.6373922602131 29.8885818664395 25.4683334660318 14.0676232288566 139.264779635419 62.6806232206107 21.5825124085271 14.0061188915201 132.774198487224 30.3468639346215 523.870144271886 348.857590347513 305.268490757182 247.254046903548 492.826575458247 102.144915630853 "n_eff" 7 20 45.819 61.671 31.204 44.911 "RHSP" 1 1 1 1 1 0.1 200 0.5 1
1.11199482409733 1.17061109997101 1.02290235794204 1.1009431842545 1.05830616871429 1.05380635819772 1.14468062916122 1.02475894761847 1.0387619157093 1.08776601483541 1.13106029684809 1.01162832550317 1.05438925359893 1.00244160454405 1.00437061354303 1.01010071672425 1.01028370876811 1.00065940027682 1.01733074372482 "Rhat" 7 20 45.819 61.671 31.204 44.911 "RHSP" 1 1 1 1 1 0.1 200 0.5 1
491.979929573455 370.216620023561 280.359122886168 253.915743335039 912.099769887401 719.319059554201 419.610597863472 359.463680322793 484.027748930665 366.28752596199 319.199621710321 838.691470023903 810.334510234297 2392.77854528129 1258.9429422798 1649.08037470172 3018.63487915658 1313.43390539129 745.859710676727 "n_eff" 7 2 63.522 52.091 31.746 32.129 "RHSP" 1 1 1 1 1 0.1 200 0.5 2
1.00068742405153 1.00255096209039 1.01760652162349 1.01161468862711 1.00019688234532 1.0003295522937 1.0076487001934 1.01769614835717 1.01404485900274 1.00680503167125 1.00654002233694 1.00061448665604 1.00372428723217 1.00177361267775 1.00454065291374 1.00063693552611 1.00021940914415 1.00008798042668 1.00577027400749 "Rhat" 7 2 63.522 52.091 31.746 32.129 "RHSP" 1 1 1 1 1 0.1 200 0.5 2
573.047058055264 392.489029941869 987.67710901604 387.962762761558 1925.84134969478 1744.36399594852 565.535379099662 766.420153205752 1096.80502564679 422.564545637284 483.869259142437 2008.45600358216 1852.19635583405 1481.64356349911 493.714648817689 872.452029807536 1077.7303985087 955.572988052853 3821.3029727846 "n_eff" 8 8 58.513 53.714 65.675 101.33 "RHSP" 1 0.1 1 1 1 0.1 200 0.5 1
1.0024925481344 1.00246723975586 1.00326542685718 1.00495161333622 0.999691315983632 1.00036305142095 1.00184136046635 1.00162322995093 1.00152251252133 1.00612220880454 1.00200572443671 0.999974305940751 1.00054666331795 1.00043235273066 1.0023102271559 0.999898023895326 1.00054218594362 0.999707611940009 0.999753785487321 "Rhat" 8 8 58.513 53.714 65.675 101.33 "RHSP" 1 0.1 1 1 1 0.1 200 0.5 1
392.526395648673 425.78734239053 861.203526928175 382.428842299105 1813.28127071402 2109.56305167368 374.296461090224 390.535683839584 511.268065651588 478.013582419657 468.26224000254 1966.11242288225 1155.45161824448 3420.44657102979 3235.09903947169 2019.91866439597 2824.77897121685 1597.19519816108 3938.55705613473 "n_eff" 7 2 54.236 48.201 42.227 43.468 "RHSP" 1 0.1 1 1 1 0.1 200 0.5 2
1.00102658554342 1.0005163138644 1.00076013477937 1.00106856491966 1.00054186434356 1.00098692758693 1.00184937005889 1.00571293618692 1.00334315487288 1.00137728159589 1.00283673953187 1.00236062302859 1.00044009267446 0.999562271983417 1.00015949461427 0.999628999658563 0.999728024055979 1.0005902920533 0.999727913349526 "Rhat" 7 2 54.236 48.201 42.227 43.468 "RHSP" 1 0.1 1 1 1 0.1 200 0.5 2
583.474605119126 339.404902550396 432.553671006479 756.879910819082 994.889136810026 1305.02284342349 447.48229732869 524.692116210306 484.261342462823 451.554956278955 385.028400475878 1302.35738572087 1325.14625064303 2020.29884905588 2215.49382358037 1857.18697507053 4944.60672443702 2464.53382718123 2167.03601797865 "n_eff" 8 0 55.183 63.232 54.25 48.18 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.5 1
1.00109513501488 1.00498850985691 1.00719369619791 1.00246653428922 1.00137245959291 1.00136797785234 1.00630593936111 1.00285659939199 1.00476190089254 1.00386006697581 1.0028741886267 0.999945494660667 1.00079629038165 0.999825888232078 0.999825476102908 1.00061677403931 0.999743139402196 1.00131465240107 1.00094132019932 "Rhat" 8 0 55.183 63.232 54.25 48.18 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.5 1
1054.05859683576 968.920095288377 356.085301846595 349.628446704553 689.336260021539 784.537732298049 325.151282300809 319.130805765078 428.608654428493 1204.28367363156 1039.65021406485 431.368714072816 676.940897164374 3086.06646036698 1478.95809696553 1166.29620105651 1957.7130120099 622.862523852112 3885.68096798455 "n_eff" 8 0 67.605 62.719 87.646 78.343 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.5 2
1.00426973382263 1.00033835185013 1.00733886560145 1.0050798619844 1.00391568388149 1.00333375589281 1.00327282749452 1.01085952684252 1.00366741500116 1.00108774409406 1.00232339785478 1.00571100209829 1.00339731013121 1.00042993948817 1.00008379889062 0.999836892165338 1.00136258749274 1.00553583542125 0.999944472393956 "Rhat" 8 0 67.605 62.719 87.646 78.343 "RHSP" 0.1 0.1 1 1 1 0.1 200 0.5 2
593.382092699116 369.385159393301 820.791228207758 415.102669912315 1634.18296179681 1744.03560113489 569.363859205599 710.661818827385 903.551022506278 459.830397568638 348.209667795304 1816.50943150518 1351.31139179584 3246.74299933973 1559.00969756006 154.291885284357 2226.43240712107 652.975837929521 2292.46037017179 "n_eff" 8 6 69.139 75.587 103.919 66.322 "RHSP" 0.1 1 1 1 1 0.1 200 0.5 1
1.00313836976422 1.00470780519832 1.004392393285 1.00357866310684 1.00109456538855 1.00064065928245 1.00381340267602 1.00042461929861 1.00177103663324 1.00285912580941 1.00185670220952 1.00079048952519 1.00096957374863 0.999902713025429 1.00127753180568 1.01006792608308 1.00041760280089 1.00605271270298 1.00063014840715 "Rhat" 8 6 69.139 75.587 103.919 66.322 "RHSP" 0.1 1 1 1 1 0.1 200 0.5 1
972.783463195422 679.246384542954 768.604975623235 626.757977071967 354.280420182713 210.576766686654 775.356315227843 625.920294219047 656.620681973754 797.577287430861 784.136190077725 184.204448834207 328.52124349703 2902.33354858212 1067.10252600504 1516.14949879628 1133.01753312191 192.973356528096 385.331482363823 "n_eff" 8 18 78.255 46.602 73.529 58.789 "RHSP" 0.1 1 1 1 1 0.1 200 0.5 2
1.00071142459723 1.00319455800505 1.00657963630803 1.00359425150872 1.00871568076733 1.01185044406219 1.00139744558875 1.01007368211837 1.00794749684039 1.00311304525189 1.00654731522862 1.01348702666703 1.00931377186214 1.00205343298507 1.0008017188258 0.999988578867127 1.00469474905557 1.00791984177796 1.00890571812642 "Rhat" 8 18 78.255 46.602 73.529 58.789 "RHSP" 0.1 1 1 1 1 0.1 200 0.5 2
402.766124636493 226.802408122608 194.872680893502 384.270784454244 526.259748728022 334.173545271893 251.144747946583 397.833649442269 200.816066226975 426.886766553085 259.539453162442 271.736311969523 428.147829425144 1930.57844555113 1527.59615148983 2177.46263231047 1516.67411665691 734.74197303882 658.149656652769 "n_eff" 8 1 85.299 80.306 79.761 70.252 "RHSP" 1 0.1 1 1 1 5 200 0.5 1
