"","lambdaMainC[1]","lambdaMainC[2]","lambdaMainC[3]","lambdaMainC[4]","lambdaMainC[5]","lambdaMainC[6]","lambdaCrossC[1]","lambdaCrossC[2]","lambdaCrossC[3]","lambdaCrossC[4]","lambdaCrossC[5]","lambdaCrossC[6]","PsiC[1,2]","theta[1]","theta[2]","theta[3]","theta[4]","theta[5]","theta[6]","parameter","prior","sigma","N","iteration"
"1",1.48207102416345,1.38989948784952,1.73681416845032,11.6228774115285,1.68863010208541,1.89454829831639,3.3399720150754,1.51811739944267,1.77734559424647,1.60787684319257,1.3928832083827,30.0558848708375,1.33273289753808,4.44335558357808,3.08320710765226,1.58369555025821,1.59157399048043,3.31297606689396,30.0253464813304,"n_eff","SVNP",0.1,200,1
"2",1.75070024303255,1.90412513780993,1.58332121305944,1.09551900930143,1.5918886078578,1.48559600832674,1.26600909960286,1.76250239751794,1.52256654683263,1.6828007308255,1.87353542901859,1.05296799821626,2.28590967316004,1.12287069772703,1.24668641619036,1.7693372436319,1.76521467228596,1.21875622968903,1.04286793852237,"Rhat","SVNP",0.1,200,1
"3",2.62172839145357,2.22524364590957,3.93223917472716,26.9676249685186,1.97151778886333,3.48095754717867,12.3346840566988,2.14874999852734,3.0811212549621,2.95253159955979,2.08194424433551,14.0361352039092,1.56108782979112,46.8625266181069,6.56829275181191,1.98355483919177,2.07431290611874,7.86738966106981,119.504982143852,"n_eff","SVNP",0.1,200,2
"4",1.49929534369381,1.42728106855527,1.23161349409964,1.10029733307405,1.72851842063935,1.48065416584715,1.06816869165051,1.67626638958896,1.56020556210188,1.44398339461682,1.4780271739566,1.09859992977402,1.961853826969,1.00983381520945,1.0999070299839,1.52865069422097,1.76427195047203,1.09145097533683,0.989691789868786,"Rhat","SVNP",0.1,200,2
"5",53.275778306002,71.0691687720999,150.32003730527,76.8946351973932,36.6731817501693,61.4460681814521,36.3576395188545,26.3560229657396,4.38203656758075,10.2586672353015,74.3978679464324,51.4880124687986,13.3221335629068,200,87.2221783620433,131.840765665656,23.1820924320118,100.532333600558,182.09314426529,"n_eff","SVNP",0.1,200,3
"6",1.05218770373858,0.99783765381972,0.986828552862637,1.05657519535153,1.07443065666143,1.01757155737022,1.06096486601498,1.10116944762623,1.18041970118413,1.10861593630351,0.983849217672218,1.03609178189221,1.22283675742886,0.991979411598665,0.997849028089169,0.981721178537373,1.09419273255801,0.989317012487527,0.985243538732434,"Rhat","SVNP",0.1,200,3
"7",1.25734417123766,1.12905288248697,1.27509833776076,4.1540335490918,1.25754168077728,2.41081502270276,1.97754869887244,1.1555700454694,1.80300874173112,1.23907895643532,1.11872172264914,3.29128149270273,1.06116556447113,6.24160459365283,1.6646963906992,1.13989249226688,1.83365552527473,1.29549115516454,2.79687698054863,"n_eff","SVNP",0.1,200,4
"8",2.07750721416438,2.76220787928763,2.06483261598832,1.15692866114288,2.13288964095742,1.27089835472695,1.36695440127841,2.50697338212577,1.42799507860108,2.13963008186705,2.94980644643343,1.1973230776076,4.68545073353681,1.0724716666803,1.47569253607957,2.84764624745567,1.4441760567282,1.93173850320217,1.21057772760651,"Rhat","SVNP",0.1,200,4
"9",102.222885496344,66.5195727340023,96.872354932328,28.3542584909227,55.0902052847022,160.278853391528,1.37234684896615,1.02182584164949,1.05689341488588,1.05748007555114,1.07129837668945,79.1837196568196,61.5603709158752,114.742552876707,94.422278714266,21.5652040154196,21.3566168337049,74.8347100603843,89.1149166563459,"n_eff","SVNP",0.1,200,5
"10",0.999879454271589,1.02808008907912,0.996222003397,1.07105629441036,1.02339520785392,1.01138530636453,1.90461792173311,8.45536301572038,4.29330862690839,4.14857681490748,3.68435399621185,0.989271119392131,0.992767083934649,0.991818792798996,0.986811581454844,0.997638316591964,1.07250098226617,0.987016555286435,0.990946943152093,"Rhat","SVNP",0.1,200,5
"11",157.78704913188,78.4375526241431,187.222511986511,143.172505317616,200,111.727027164482,95.2626043758938,68.5117189288727,67.2508917816904,68.8552041801364,73.0982678223838,42.3035136812816,4.15310891765403,87.6026401569991,96.451262647121,77.7123448687639,58.4125249257006,113.375441630511,80.471578253918,"n_eff","SVNP",0.01,200,1
"12",0.991569362991686,1.00512570644297,0.981416043799587,0.992821517449473,0.980873382033771,1.00601936596292,0.994097841921476,0.987949388018154,0.999588313306525,0.993216059206307,0.99468031492213,1.05270633320217,1.19770693185477,1.00821496417984,1.00637441554983,1.00395916286513,1.04386019660618,0.99823549423281,1.01110382564873,"Rhat","SVNP",0.01,200,1
"13",150.868598413154,187.792624038002,58.9325781922938,141.998171584372,15.30604435461,107.622315899599,88.5376821213535,65.8981929705636,94.052731328992,130.360889184586,108.419684259942,114.664602087315,2.3295147037894,102.091625820501,79.9158814407702,125.570077018426,17.3948575208671,124.274032735236,136.92545862758,"n_eff","SVNP",0.01,200,2
