"lambdaMainC[1]" "lambdaMainC[2]" "lambdaMainC[3]" "lambdaMainC[4]" "lambdaMainC[5]" "lambdaMainC[6]" "lambdaCrossC[1]" "lambdaCrossC[2]" "lambdaCrossC[3]" "lambdaCrossC[4]" "lambdaCrossC[5]" "lambdaCrossC[6]" "PsiC[1,2]" "theta[1]" "theta[2]" "theta[3]" "theta[4]" "theta[5]" "theta[6]" "parameter" "maxTree" "sumDiv" "prior" "sigma" "N" "cross" "iteration"
116.218609935206 26.5971852464883 100.636275328172 65.4643902265715 58.2329534652333 50.796397459964 111.633934374325 71.7149869667983 99.1888622992221 120.06494297088 105.393081066725 92.5897056965976 94.9431057813358 113.885949927454 20.7255150690186 86.8080558667992 153.835042812791 43.2948050132449 58.7744052549215 "n_eff" 6 0 "SVNP" 0.1 100 0.2 1
0.985156827624757 1.06633475566327 0.995969482961298 1.02102947241154 0.992653821417486 1.0016279477858 0.986699645308232 0.98010565759675 0.992858556001806 0.988888947930222 0.993430938103879 0.996481079687124 0.98076635825151 1.00970591615557 1.08116783671466 1.01995172055869 1.0022675634717 1.02468299183889 0.987659154424324 "Rhat" 6 0 "SVNP" 0.1 100 0.2 1
59.5209355405488 34.8078245026351 97.5763668136258 26.1269980677517 108.668402097862 130.377814777275 32.1616045075197 100.148052248719 200 103.302836849529 40.0506002695468 74.5952024214774 18.2056418390808 19.4632070899923 28.930170165518 191.88535040619 24.9269580988887 84.6552161163463 98.8694127317408 "n_eff" 6 0 "SVNP" 0.1 100 0.2 2
0.984268399864123 1.00394093474908 0.997935505105275 1.05324442516631 0.989893744682326 0.993116977943094 1.02605150832896 0.983339285129705 0.988655647494685 0.987592166007711 1.01513359010223 1.00742339390982 1.0434963833089 1.00703964193859 1.00463887787367 0.983690679781944 1.04565543633727 1.0241046911454 0.990891167992214 "Rhat" 6 0 "SVNP" 0.1 100 0.2 2
102.57664950501 144.66408785651 117.642819937893 155.133924251724 46.5297885714969 121.65220370569 80.7584609595709 68.4701506754827 90.4181513036986 78.2404625973391 42.5228394098751 103.846959307018 37.1063509155877 73.2775253189539 63.2717335961166 157.372701569873 100.506728786196 53.3080719825759 107.220989888503 "n_eff" 6 0 "SVNP" 0.0316227766016838 100 0.2 1
1.00488554896678 0.983053913137012 1.00448750272481 0.98496267543963 1.02375107935964 0.985313066619342 1.02068644564669 1.00662664932827 0.988997499114623 0.990372094867066 1.03010673319238 0.990531460160834 1.02769568630002 1.03961256568522 0.988391507979991 0.99559117102126 0.99012038254962 0.998632319096587 0.992949103252355 "Rhat" 6 0 "SVNP" 0.0316227766016838 100 0.2 1
72.3352471144993 65.7349323668043 69.6544052654386 124.672912152462 57.9167641289656 59.3548437112304 74.3397325867978 162.341441712112 83.8519355959242 97.6380112118137 85.9105137970507 48.5687727928857 21.0230090427572 49.4151365619916 23.0174741490873 143.471961782588 92.6454624538931 35.9141671641384 38.0113948403124 "n_eff" 7 0 "SVNP" 0.0316227766016838 100 0.2 2
1.01773030931404 1.00318048748551 1.01579690006717 0.983797323237258 0.994382428437702 0.987727254233486 0.992787961757318 0.985050809276784 1.01175653256524 1.00564546531582 1.00878483016341 1.01739233817883 1.03480330095335 1.02951174561329 1.0366948002274 0.987706343539946 1.00955105566313 1.00516466326503 1.02475460808248 "Rhat" 7 0 "SVNP" 0.0316227766016838 100 0.2 2
66.3306719337077 67.9540488435223 115.638767084472 56.054550458062 51.692625806224 111.917488442084 85.1420460651719 164.450505215072 66.7428362310609 34.3196582318735 35.9042779251134 60.881697486152 83.0304192583868 88.2722158014795 60.2939155109639 45.9026802687512 144.831424458527 127.004589355491 77.3924758031667 "n_eff" 7 0 "SVNP" 0.316227766016838 100 0.2 1
0.996342968038879 1.02240916145961 1.00445632130877 1.01722844617355 1.01345152146594 1.00715090669243 0.983047378312257 0.994992226567479 1.05170440918989 0.985790713973274 1.00824964344265 1.05854281131438 0.98518924816763 1.01254452124913 0.992592971256041 1.00186455611399 0.997606823766472 1.00019446004837 1.00075280132828 "Rhat" 7 0 "SVNP" 0.316227766016838 100 0.2 1
46.9378493645116 68.2981127828239 44.372578011906 41.1573288169572 59.9589811225064 35.152500670015 28.7556775066162 23.6657462454514 32.0543779436701 59.7197230125863 46.0466504115606 87.7140844871214 24.8313037781644 152.277471270126 42.8844482466399 200 157.379380973293 83.9999659461925 8.0282313241459 "n_eff" 6 0 "SVNP" 0.316227766016838 100 0.2 2
1.07007936087182 0.988145181145103 1.05236871193856 1.01240435909396 0.996314562713107 1.04038404067798 1.01662941316274 1.01024792010453 0.995541690359506 1.00530667048189 1.00319066044468 1.00492690966579 1.04409330014592 0.991925420285676 1.11962808908223 1.00087747680814 0.98624384193123 1.01223189234158 1.3204595078488 "Rhat" 6 0 "SVNP" 0.316227766016838 100 0.2 2
