"mainEstMean_1" "mainEstMean_2" "mainEstMean_3" "mainEstMean_4" "mainEstMean_5" "mainEstMean_6" "crossEstMean_1" "crossEstMean_2" "crossEstMean_3" "crossEstMean_4" "crossEstMean_5" "crossEstMean_6" "thetaEstMean_1" "thetaEstMean_2" "thetaEstMean_3" "thetaEstMean_4" "thetaEstMean_5" "thetaEstMean_6" "25%_1" "25%_2" "25%_3" "25%_4" "25%_5" "25%_6" "75%_1" "75%_2" "75%_3" "75%_4" "75%_5" "75%_6" "2.5%_1" "2.5%_2" "2.5%_3" "2.5%_4" "2.5%_5" "2.5%_6" "97.5%_1" "97.5%_2" "97.5%_3" "97.5%_4" "97.5%_5" "97.5%_6" "corrEstMean" "prior" "scaleGlobal" "scaleLocal" "dfGlobal" "dfLocal" "nu" "scaleSlab" "N" "cross" "iteration"
0.50907005 0.72301492 0.36738737 0.204115811 0.60640187 0.35457316 0.057463767573 0.007117804418 -0.011037181516 -0.01088955796 -0.04239601706 0.03612868664 0.334486913 0.52016614 0.37085485 0.35914122 0.2447796784 0.231968319 -0.000885635 -0.022467175 -0.035259375 -0.0279158 -0.068653525 -0.014557825 0.111672 0.0434273 0.023749125 0.01796795 0.017544775 0.079915575 -0.03264065 -0.148840775 -0.161590525 -0.188336325 -0.3305978 -0.059341885 0.185649575 0.1200916 0.134326475 0.11741105 0.094326295 0.207207 0.524951483 "RHSP" 1 0.1 1 1 1 0.1 100 0.2 1
0.46092848 0.74976513 0.2028221114 0.236482208 0.358956683 0.325779789 0.105520703042 0.03808522654 -0.05854291306 -0.03468956549 0.01734170799 0.2237133766 0.307857 0.320533342 0.2516886 0.2278516 0.39063361 0.232277699 0.02304975 -0.0194433 -0.14950375 -0.0692427 -0.02389445 0.146076 0.171255 0.090189525 0.009129445 0.018961025 0.07565375 0.292034 -0.0651202025 -0.1914141 -0.303584475 -0.312899875 -0.2604683 -0.01441648 0.298934925 0.26201775 0.158352325 0.1240037 0.242321974999999 0.500875025 0.509625506 "RHSP" 1 0.1 1 1 1 0.1 100 0.2 2
0.60750702 0.71950649 0.477185666 0.198506841 0.291759584 0.1588235595 0.02243620386 0.01406808731146 0.008705986387 0.00674461399 0.00193328523 0.00914002798 0.34345393 0.42274764 0.27330164 0.27582938 0.53328493 0.30171059 -0.0089991225 -0.013668825 -0.01628115 -0.01126235 -0.0162474 -0.014696725 0.035451275 0.033680075 0.026372175 0.02613095 0.031168175 0.029946825 -0.0935094375 -0.129213475 -0.07829933 -0.139464525 -0.180407775 -0.12933405 0.207524775 0.189456325 0.11332055 0.210179525 0.13749245 0.175240975 0.587139513 "RHSP" 0.1 1 3 1 1 0.1 100 0.2 1
0.40174583 0.63709858 0.43414582 0.280177737 0.38991598 0.1778998347 0.0373190009287 -0.009178208753 0.00638910297 0.00394003712 0.00177782481 0.01551054227 0.41371277 0.372061397 0.29707814 0.29842234 0.483268515 0.28110549 -0.00131395 -0.01983605 -0.01229095 -0.01675915 -0.022885175 -0.0123571 0.059153775 0.0127258 0.030906625 0.034598325 0.02829245 0.025363225 -0.0847741775 -0.1835071 -0.18630135 -0.1688944 -0.11242375 -0.105641725 0.243380525 0.10385437 0.14581475 0.1131677 0.157340025 0.1495651 0.551755042 "RHSP" 0.1 1 3 1 1 0.1 100 0.2 2
0.5171718 0.75540593 0.240868685 0.1943494961 0.58080114 0.28555463 0.03883278117696 -0.01071607283124 0.00224892482102 -0.0101758443025 0.012137303057374 0.0095647196312 0.252830539 0.38834609 0.32434077 0.30762607 0.352816437 0.26240637 -2.0677063e-05 -0.010262655 -0.0042582225 -0.01763915 -0.004262015 -0.00099653875 0.04139835 0.0039855575 0.0038947075 0.003555495 0.0069652625 0.00859366 -0.017991965 -0.176014775 -0.0529609975 -0.1226888975 -0.0363408725 -0.0250693275 0.2378596 0.0607271025 0.0587604125 0.0470591 0.1643856 0.1058677 0.488072545 "RHSP" 0.1 0.1 1 3 1 0.1 100 0.2 1
0.55097876 0.82210757 0.400325403 0.1312021771 0.42409626 0.193263937 0.03597508932 0.0241797877338 -0.051792106033 0.0056950494165 0.001146455168 0.043297566449 0.26941051 0.345547448 0.30830343 0.40272541 0.182005322 0.31086575 -0.000267216 -0.0042572875 -0.054978125 -0.008369905 -0.008962905 -0.0037680675 0.0678736 0.030639325 0.00082792975 0.012018975 0.00921526 0.071587375 -0.0555331875 -0.12886275 -0.3404421 -0.087989625 -0.1130170475 -0.141268375 0.19940365 0.252282675 0.02263321 0.146471575 0.1225642 0.4192794 0.47615564 "RHSP" 0.1 0.1 1 3 1 0.1 100 0.2 2
0.44625791 0.53941405 0.38155763 0.1342197174 0.3470961099 0.1801149454 0.03847170696 0.0171916535091 -0.00434923456 -0.0033833132 -0.00756146439 0.0104037059396 0.224745009 0.56009716 0.31136372 0.29859285 0.470217033 0.252051804 -0.00025436275 -0.01058842 -0.027238625 -0.0128092 -0.01819905 -0.00732035 0.06242085 0.028751075 0.0180303 0.0174113 0.0231114 0.025732625 -0.0448156575 -0.118954575 -0.127899975 -0.1517821575 -0.1790174 -0.10714304 0.252389474999999 0.261199775 0.108493725 0.1003941425 0.0902655799999998 0.1932 0.570324454 "RHSP" 1 0.1 1 3 1 0.1 100 0.2 1
0.48134108 0.67524233 0.2408165238 0.1476677348 0.30076608 0.20748088 0.1197786247 0.01706140119 -0.00593248889 0.0308458954 0.03460474189 0.05944403317 0.28367292 0.327518123 0.35876301 0.22682337 0.441622414 0.2828188 0.011111025 -0.02655105 -0.05748875 -0.0251671 -0.014637625 -0.004926425 0.20021675 0.05859035 0.041257775 0.067766975 0.073892125 0.1135515 -0.02753618 -0.1719569 -0.15623495 -0.10349983 -0.146096935 -0.27818135 0.30455285 0.236881225 0.142432525 0.26237215 0.275751049999999 0.397289625 0.449375461 "RHSP" 1 0.1 1 3 1 0.1 100 0.2 2
0.54976928 0.71691514 0.49939783 0.290996567 0.55671897 0.2688107436 0.10538278746 0.03101474518 -0.01777061818 -0.0625839082 0.11735514219 -0.06637266297 0.36442915 0.45736309 0.233256698 0.24719051 0.358750601 0.30202681 0.023736225 -0.039990075 -0.07115195 -0.1254685 0.01065607 -0.1062425 0.1944525 0.0965973 0.0164091 0.0075978925 0.2101215 0.0027409075 -0.0942848075 -0.14518645 -0.184661975 -0.33505405 -0.0514218175 -0.372086825 0.36310655 0.305550075 0.18467125 0.11294277 0.406067575 0.123401775 0.602936383 "RHSP" 1 1 3 1 1 0.1 100 0.2 1
0.68249296 0.86641089 0.36006611 0.11196105713 0.24816277 0.10325327 0.223002554 0.03777309881 -0.017784524392 0.04895450959 0.014146427367 0.0998866917 0.234861463 0.49646862 0.246672782 0.32652386 0.323433883 0.255999139 0.16347125 -0.071411325 -0.10582575 -0.041163475 -0.0809706 -0.068026525 0.280038 0.14038175 0.060520675 0.1060365 0.102455 0.2397635 0.0645487375 -0.29111535 -0.241282025 -0.23962445 -0.235608325 -0.38629385 0.407955925 0.411396825 0.24381055 0.436964574999999 0.261100975 0.455148775 0.1668958177 "RHSP" 1 1 3 1 1 0.1 100 0.2 2
