"biasMain_1" "biasMain_2" "biasMain_3" "biasMain_4" "biasMain_5" "biasMain_6" "biasCross_1" "biasCross_2" "biasCross_3" "biasCross_4" "biasCross_5" "biasCross_6" "biasTheta_1" "biasTheta_2" "biasTheta_3" "biasTheta_4" "biasTheta_5" "biasTheta_6" "mseMain_1" "mseMain_2" "mseMain_3" "mseMain_4" "mseMain_5" "mseMain_6" "mseCross_1" "mseCross_2" "mseCross_3" "mseCross_4" "mseCross_5" "mseCross_6" "mseTheta_1" "mseTheta_2" "mseTheta_3" "mseTheta_4" "mseTheta_5" "mseTheta_6" "isZeroTres10_1" "isZeroTres10_2" "isZeroTres10_3" "isZeroTres10_4" "isZeroTres10_5" "isZeroTres10_6" "biasFactCorr" "mseFactCorr" "prior" "sigma" "N" "iteration"
0.08907091 0.0843256999999999 0.19711559 0.1113202864 0.017444077 0.044649223 0.1744207911 0.009139142563 0.0119138037 0.0372519394 0.01859540635 0.17746574196 0.05661531 0.094067323 0.009648657 0.00675198999999999 0.022029682 0.03956515 0.101788554305194 0.103396415415081 0.211892120888669 0.1262582022566 0.131270920342977 0.0678785783193026 0.185552293754866 0.0192775547036014 0.0185287164448056 0.0460694935077982 0.0278117476646208 0.19504749578693 0.0605373697459737 0.117343636593613 0.0163412029253071 0.00822035449679786 0.0398662435056833 0.041916084095947 1 0 0 0 0 1 0.0218166279999999 0.152957440581972 "SVNP" 0.1 100 1
0.02967369 0.07193531 0.095179066 0.225814355 0.084506295 0.0830158 0.2343478521 0.00457834475 0.0006866899 0.05169283366 0.01426393627 0.2222516017 0.094865747 0.025537698 0.06782197 0.0148526 0.07657106 0.02976517 0.0416992071550645 0.0907794859173272 0.112848404221421 0.241275183291767 0.109415597368773 0.0976798006163636 0.243586691695391 0.0118786345383308 0.0073912753637764 0.0611141653715285 0.0226742131653581 0.233112092209768 0.0976764057338975 0.0432181283775867 0.0711267439878274 0.0170173518162222 0.082886700124158 0.0322595514015769 0 0 0 0 0 0 0.272389799 0.313569693240957 "SVNP" 0.1 100 2
0.03060665 0.02169087 0.16624596 0.238616835 0.21258334 0.0506980817 0.21221023377 0.03402685126 0.01063080098 0.00563284437 0.011778311296 0.2414609492 0.000834109999999999 0.05431807 0.00453239 0.027705621 0.13246253 0.000182829999999967 0.0417603867385126 0.037270915769387 0.182014550158342 0.258921555400253 0.229340546388758 0.0675270484169935 0.224709378108624 0.043089013296404 0.020399992863869 0.0151932763449081 0.0206536495230162 0.253648510507861 0.00380375727896757 0.0677707049210961 0.00823871345531101 0.0323148017532966 0.137652330428797 0.0035564984412334 0 0 0 0 0 0 0.22135832 0.267893535592078 "SVNP" 0.1 100 3
0.07438609 0.00348612000000004 0.24175758 0.27015321 0.237159551 0.020023652 0.2675870699 0.0243259873 0.0222354442 0.0432977975 0.0155514266 0.27101366426 0.07018604 0.0266873 0.00998155000000001 0.066413365 0.18345715 0.104808 0.0913052051264262 0.0245441794310158 0.258435985027559 0.2897910638953 0.262768295730166 0.0443560066754787 0.278351256132833 0.0371586818133012 0.0327421738619397 0.0540017969799957 0.025567484123695 0.283875599550479 0.075528151558564 0.0386738680063414 0.0136295239691995 0.0687909040546445 0.191516905587826 0.110044639628 0 0 0 0 0 0 0.33180028 0.371870133853052 "SVNP" 0.1 100 4
0.02283511 0.04628969 0.068350501 0.15948229 0.2460849159 0.115000463 0.22488758656 0.04698793456 0.01755412076 0.00266714835 0.005099805 0.2719737273 0.01722746 0.0106190851 0.22613094 0.10137634 0.05328986 0.06459374 0.0349367213843616 0.0652401798315898 0.0795579421334056 0.186409836682336 0.290720112253143 0.144732633526013 0.235222392316419 0.0566749997432889 0.0253677429302024 0.00963739233744501 0.0129016655835037 0.282681506171309 0.0218102293518266 0.0359934805949979 0.231272206081875 0.11060629760855 0.0602228434276772 0.0699584744817701 0 0 0 0 0 0 0.021597897 0.125154983228203 "SVNP" 0.1 100 5
0.073704106 0.050936945 0.1109006267 0.042222465 0.4312739809 0.2435963362 0.032246921 0.0458381245 0.04756704392 0.111435017 0.1868817152 0.261197818 0.02559251 0.16323417 0.115950379 0.11106575 0.056291821 0.02648977 0.10685438566389 0.088860053140454 0.171261686823559 0.0541233392445241 0.761457707509216 0.296014435654159 0.047419589754506 0.130208705670231 0.0653015477541844 0.147231603718125 0.234533308270273 0.395478056531098 0.0297641086444949 0.178375065897941 0.121010074775253 0.112528541797199 0.0814736777972383 0.0294168837099163 1 0 0 1 1 0 0.5148819163 0.852107097963323 "SVNP" 0.316227766016838 100 1
0.2144792 0.05681813 0.00320551899999999 0.0589413192 0.310084012 0.138083944 0.06512349826 0.0795405951 0.023862241 0.0402296536 0.0326131887 0.118814487 0.127646824 0.16832834 0.04615212 0.08302965 0.13755732 0.03819069 0.252314798238364 0.0897996865106597 0.0482141359274981 0.0717028071461274 0.459772029617274 0.224782179002095 0.0828443270076852 0.133165601036179 0.0517180760760459 0.111052019491242 0.0943097439933422 0.243253727659914 0.135827340752699 0.18114762762059 0.0514165368819855 0.0874652174151591 0.147712804299533 0.0415776106275696 1 0 0 0 0 1 0.332033033 0.634350757257633 "SVNP" 0.316227766016838 100 2
0.33277668 0.09397007 0.0539094437 0.260712239 0.128404049 0.012458347 0.201186862 0.063083616513 0.043491915 0.1565533591 0.001490957 0.0666937574 0.036339892 0.21345019 0.01970836 0.05966821 0.19272466 0.09791778 0.399722047189695 0.184071649147783 0.111642170564452 0.298675609507166 0.212322632760778 0.0688683580099873 0.243849246147455 0.124173521103825 0.0807851397850462 0.228462075416368 0.0873506092872129 0.114998212407177 0.0467434349629349 0.232855517052721 0.0247612894215661 0.0634444822829353 0.198691378957035 0.0995396992753046 0 0 0 0 0 1 0.1730488913 0.365731768842801 "SVNP" 0.316227766016838 100 3
0.0879473 0.025525598 0.00938785980000001 0.08229442 0.165285017 0.012572117 0.028217204 0.0641988193 0.025181138293 0.01387295 0.0973251375 0.0992969537 0.00961709500000002 0.00408528800000002 0.04255981 0.0593217 0.026663998 0.080838235 0.128734037728475 0.057694986524023 0.0314220835562823 0.0926709091914271 0.263569424646397 0.0701555627118948 0.042817743755881 0.117161568944428 0.0555957781346973 0.0658710525953088 0.138709774571865 0.130802908148132 0.0219412180340609 0.0235038141032661 0.0452609319667615 0.0614707014572222 0.0342947652526267 0.0839771623831689 1 0 0 0 0 1 0.2371855487 0.446351455717643 "SVNP" 0.316227766016838 100 4
0.00384275899999997 0.11550169 0.106385402 0.10222124978 0.1554450891 0.071837693 0.0320170925 0.000513654199999997 0.0528456994 0.0103698939 0.0344098214 0.026800309 0.09154514 0.1576503434 0.00674533999999999 0.07066029 0.19014449 0.06093326 0.0423888306585798 0.180294066632256 0.166820617036751 0.121240622599113 0.330669493067012 0.120895970312047 0.0609138831863447 0.077489269013801 0.0752180382398512 0.0604787490906865 0.115560428016809 0.130899801757112 0.097250735543859 0.168675390740011 0.0126593052131762 0.0724583853936019 0.201556336720939 0.0626092121133257 1 0 0 0 0 1 0.125770432 0.480427509609963 "SVNP" 0.316227766016838 100 5
