"lambdaMainC[1]" "lambdaMainC[2]" "lambdaMainC[3]" "lambdaMainC[4]" "lambdaMainC[5]" "lambdaMainC[6]" "lambdaCrossC[1]" "lambdaCrossC[2]" "lambdaCrossC[3]" "lambdaCrossC[4]" "lambdaCrossC[5]" "lambdaCrossC[6]" "PsiC[1,2]" "theta[1]" "theta[2]" "theta[3]" "theta[4]" "theta[5]" "theta[6]" "parameter" "maxTree" "sumDiv" "warmupT1" "warmupT2" "sampleT1" "sampleT2" "prior" "sigma" "N" "cross" "iteration" "pos"
5978.01874318291 5525.5767370173 5331.87532157817 4788.58842251775 5717.95715620614 5285.84413863278 9438.6806500698 8907.02402825657 8194.79258934113 9066.17541051408 8135.84398534326 8909.89927126014 3876.89496473395 5546.78657916542 5051.10754403572 5056.23157596409 3640.17673955236 7649.52353519997 7807.64962729312 "n_eff" 5 0 3.944 5.634 6.661 11.465 "SVNP" 0.0316227766016838 100 0.5 1 9
1.00000183653354 0.99991253363339 1.00017504022661 0.999808496063586 1.00006583034491 0.999930216852822 0.999753485241048 0.999831343853891 0.999874655794406 1.00028507740562 0.999828245325954 0.999787664023284 1.00036448639165 1.00024334887633 0.999799178556055 1.00014563055519 1.00015796664576 1.00013379833838 0.999942835470541 "Rhat" 5 0 3.944 5.634 6.661 11.465 "SVNP" 0.0316227766016838 100 0.5 1 9
6939.79407508318 7373.11639538932 6132.3429726869 6565.82880577238 6253.18156239272 7587.87238740717 9793.5678169262 9223.80475927132 8894.47687923701 11042.890614374 9901.15093748256 11104.2013628582 10173.8029714175 8163.45209271255 8020.96063584916 5273.1470331336 6014.1938308222 8298.69246804778 9072.16716104269 "n_eff" 4 0 5.291 4.751 8.069 5.368 "SVNP" 0.0316227766016838 100 0.5 2 9
0.999786462702906 0.999841418123752 1.00014991627589 0.999958404518665 1.00087452143453 0.999869675849917 1.00014598670856 1.00030702617727 0.999820179932272 0.999856372653895 0.999834568685133 0.99980001730382 0.999900854422047 0.999837919136813 1.00020772259807 1.00015556248875 0.99989232895024 0.999839639542513 0.999914215492611 "Rhat" 4 0 5.291 4.751 8.069 5.368 "SVNP" 0.0316227766016838 100 0.5 2 9
6243.86667995918 5765.05397303671 8377.52476502225 5185.5334500965 7375.79454064405 4903.55994985951 9132.73793133963 8356.41459175659 8518.60152491834 9016.65067434627 9917.65546400811 9709.9182284456 5600.82525417527 6443.35665258487 5064.97825235823 9258.35298615398 5809.01056583528 6871.01100307343 4978.74287651411 "n_eff" 4 0 5.263 5.123 8.933 8.449 "SVNP" 0.0316227766016838 100 0.2 1 3
1.00005122341782 0.999778576780545 0.99982388715453 1.00126615453934 1.00002363428006 1.00036840615106 0.999852696653506 1.00039746089891 1.0001976179866 0.999897075624187 1.00001563420416 0.999955288060901 0.999820024171208 0.9999019424079 0.999892684510077 0.999832672580616 1.00068733320004 0.999946116502013 1.00080323151567 "Rhat" 4 0 5.263 5.123 8.933 8.449 "SVNP" 0.0316227766016838 100 0.2 1 3
8495.68969255592 7390.57785782039 7769.90962055799 6692.61486852802 7331.60165365001 6339.88185591327 8525.81245590488 10004.0558206817 9527.98179058005 9147.04635133424 10104.7833710129 9416.12079730331 5303.61297834562 7958.60681564072 5954.33369291279 7510.56684738977 7527.75849981862 6577.55888060421 5295.04758604375 "n_eff" 5 0 6.64 6.402 9.125 14.314 "SVNP" 0.0316227766016838 100 0.2 2 3
0.999847040613693 0.999799307112552 1.00011657174117 0.999979459594051 1.00001481288162 0.999851414571868 0.999923436234293 1.00027648187805 0.999877559714485 1.00029611703848 0.9998556089302 0.999852585303015 0.999823507197604 0.999785114803677 0.99999975455081 1.0003745318508 0.999853475298561 0.999790940389453 0.999842131563416 "Rhat" 5 0 6.64 6.402 9.125 14.314 "SVNP" 0.0316227766016838 100 0.2 2 3
7067.66392695367 6443.31912182328 6939.24161346792 5179.77392586967 4900.9602208904 6319.3761913944 7977.4091658608 5618.56818640643 6866.22772869787 7330.62168299277 7992.13804451181 7477.13615883387 5084.34848665112 10752.0964869966 8958.20613125392 10150.9364827739 3977.89726704721 10402.9028519189 12850.3848030451 "n_eff" 5 0 7.556 7.422 13.878 11.181 "SVNP" 0.1 100 0.5 1 8
0.999822563771905 0.999949215093585 1.00080315466716 1.00029396592163 1.00089755085222 0.999852885956533 0.999775519261467 1.00127456998581 0.999882319801544 0.999896684061129 0.999862096988508 1.0006489132639 1.00088754699615 0.999769873428324 1.00042163897716 1.0003320646422 1.00100989368176 0.999870780674958 0.999798265205755 "Rhat" 5 0 7.556 7.422 13.878 11.181 "SVNP" 0.1 100 0.5 1 8
